id,category,metric,value,unit,period,as_of,status,source_url,source_note
fy2026_guidance_tax_rate,guidance,Underlying effective tax rate,0.199,decimal,FY2026E,2026-07-28,management_guidance,https://investors.coca-colacompany.com/news-events/press-releases/detail/1168/coca-cola-reports-second-quarter-2026-results-and-raises-full-year-guidance,Excludes adverse IRS litigation outcome
fy2026_guidance_ocf,guidance,Operating cash flow,14.6,USD bn,FY2026E,2026-07-28,management_guidance,https://investors.coca-colacompany.com/news-events/press-releases/detail/1168/coca-cola-reports-second-quarter-2026-results-and-raises-full-year-guidance,Approximately 14.6 billion
fy2026_guidance_capex,guidance,Capital expenditures,2.2,USD bn,FY2026E,2026-07-28,management_guidance,https://investors.coca-colacompany.com/news-events/press-releases/detail/1168/coca-cola-reports-second-quarter-2026-results-and-raises-full-year-guidance,Approximately 2.2 billion
fy2026_guidance_fcf,guidance,Company-defined free cash flow,12.4,USD bn,FY2026E,2026-07-28,management_guidance,https://investors.coca-colacompany.com/news-events/press-releases/detail/1168/coca-cola-reports-second-quarter-2026-results-and-raises-full-year-guidance,OCF minus capex; after interest and not identical to FCFF
fy2025_comparable_eps,per_share,Comparable EPS,3.00,USD per share,FY2025,2025-12-31,reported_non_gaap,https://investors.coca-colacompany.com/news-events/press-releases/detail/1151/coca-cola-reports-fourth-quarter-and-full-year-2025-results,Base used by 2026 EPS guidance
fy2026_guidance_eps_growth_midpoint,guidance,Comparable EPS growth,0.095,decimal,FY2026E,2026-07-28,midpoint_of_guidance,https://investors.coca-colacompany.com/news-events/press-releases/detail/1168/coca-cola-reports-second-quarter-2026-results-and-raises-full-year-guidance,Midpoint of 9 to 10 percent
q2_2026_cash_short_term_investments,balance_sheet,Cash cash equivalents and short-term investments,13.529,USD bn,2026 Q2,2026-07-03,reported,https://investors.coca-colacompany.com/filings-reports/all-sec-filings/content/0001628280-26-050503/ko-20260703.htm,Balance sheet
q2_2026_marketable_securities,balance_sheet,Marketable securities,2.842,USD bn,2026 Q2,2026-07-03,reported,https://investors.coca-colacompany.com/filings-reports/all-sec-filings/content/0001628280-26-050503/ko-20260703.htm,Balance sheet
q2_2026_equity_method_investments,balance_sheet,Equity method investments,20.782,USD bn,2026 Q2,2026-07-03,reported,https://investors.coca-colacompany.com/filings-reports/all-sec-filings/content/0001628280-26-050503/ko-20260703.htm,Added separately because equity income is below operating income
q2_2026_loans_notes,balance_sheet,Loans and notes payable,0.048,USD bn,2026 Q2,2026-07-03,reported,https://investors.coca-colacompany.com/filings-reports/all-sec-filings/content/0001628280-26-050503/ko-20260703.htm,Balance sheet
q2_2026_current_debt,balance_sheet,Current maturities of long-term debt,6.494,USD bn,2026 Q2,2026-07-03,reported,https://investors.coca-colacompany.com/filings-reports/all-sec-filings/content/0001628280-26-050503/ko-20260703.htm,Balance sheet
q2_2026_long_term_debt,balance_sheet,Long-term debt,37.001,USD bn,2026 Q2,2026-07-03,reported,https://investors.coca-colacompany.com/filings-reports/all-sec-filings/content/0001628280-26-050503/ko-20260703.htm,Balance sheet
q2_2026_nci,balance_sheet,Noncontrolling interests,2.165,USD bn,2026 Q2,2026-07-03,reported,https://investors.coca-colacompany.com/filings-reports/all-sec-filings/content/0001628280-26-050503/ko-20260703.htm,Full amount deducted conservatively
q2_2026_diluted_shares,per_share,Diluted shares,4.313,bn shares,H1 2026,2026-07-03,reported,https://investors.coca-colacompany.com/filings-reports/all-sec-filings/content/0001628280-26-050503/ko-20260703.htm,Six-month weighted average diluted shares
ccba_sale_cash,transaction,CCBA cash consideration to KO,1.3,USD bn,Pending,2025-10-21,announced,https://www.coca-colahellenic.com/en/media/news/corporate_news/2025/acquisition-of-coca-cola-beverages-africa-bringing-together-two-leading-bottlers-in-africa,For KO sale of 41.52 percent interest
ccba_total_equity_value,transaction,CCBA implied total equity value,3.4,USD bn,Pending,2025-10-21,announced,https://www.coca-colahellenic.com/en/media/news/corporate_news/2025/acquisition-of-coca-cola-beverages-africa-bringing-together-two-leading-bottlers-in-africa,100 percent implied equity value
ccba_retained_stake,transaction,KO retained CCBA stake,0.25,decimal,Post-close,2025-10-21,announced,https://www.coca-colahellenic.com/en/media/news/corporate_news/2025/acquisition-of-coca-cola-beverages-africa-bringing-together-two-leading-bottlers-in-africa,Retained 25 percent interest after closing
market_price_for_weights,market,KO share price used only for WACC weights,87.05,USD per share,Close,2026-08-07,market_observation,https://stockanalysis.com/stocks/ko/history/,Not used as an input to fair value except capital structure weights
raw_beta,market,Five-year monthly raw beta,0.35,decimal,Current,2026-08-01,market_observation,https://finance.yahoo.com/quote/KO/,Adjusted toward 1 before use
mature_market_erp,market,Mature market equity risk premium,0.042,decimal,Current,2026-07-01,market_observation,https://aswathdamodaran.blogspot.com/2026/07/,Damodaran mature market premium after US default-spread adjustment
irs_deposit,litigation,IRS tax litigation deposit,6.0,USD bn,Current,2026-07-03,reported,https://investors.coca-colacompany.com/filings-reports/all-sec-filings/content/0001628280-26-050503/ko-20260703.htm,Refundable if KO prevails
irs_deposit_interest,litigation,Accrued interest on IRS deposit,0.514,USD bn,Current,2026-07-03,reported,https://investors.coca-colacompany.com/filings-reports/all-sec-filings/content/0001628280-26-050503/ko-20260703.htm,Potentially refundable with deposit
irs_remaining_liability,litigation,Potential remaining tax and interest liability,14.9,USD bn,2010-2026 H1,2026-07-03,derived_from_company_disclosure,https://investors.coca-colacompany.com/filings-reports/all-sec-filings/content/0001628280-26-050503/ko-20260703.htm,14.0 at 2025 year-end plus 0.9 accrued in 2026 H1
irs_future_tax_rate_increase,litigation,Potential annual effective tax rate increase,0.038,decimal,Future,2026-07-03,reported,https://investors.coca-colacompany.com/filings-reports/all-sec-filings/content/0001628280-26-050503/ko-20260703.htm,If Tax Court methodology continues
